,nimi,hind
0,Degen Ape #2393,◎ 49.99
1,Degen Ape #3995,◎ 50
2,Degen Ape #4350,◎ 53
3,Degen Ape #7872,◎ 57
4,Degen Ape #8450,◎ 57.75
5,Degen Ape #7334,◎ 58
6,Degen Ape #8453,◎ 58
7,Degen Ape #1656,◎ 60
8,Degen Ape #4210,◎ 67
9,Degen Ape #9367,◎ 69
10,Degen Ape #8266,◎ 72
11,Degen Ape #6690,◎ 75
12,Degen Ape #725,◎ 75
13,Degen Ape #8958,◎ 75
14,Degen Ape #2627,◎ 75
15,Degen Ape #7767,◎ 75
16,Degen Ape #6012,◎ 80
17,Degen Ape #9695,◎ 80
18,Degen Ape #4151,◎ 83.5
19,Degen Ape #4579,◎ 84.69
20,Degen Ape #6092,◎ 93
21,Degen Ape #1947,◎ 95
22,Degen Ape #3705,◎ 96
23,Degen Ape #4472,◎ 97.78
24,Degen Ape #464,◎ 99
25,Degen Ape #829,◎ 100
26,Degen Ape #7985,◎ 120
27,Degen Ape #4689,◎ 120
28,Degen Ape #3786,◎ 125
29,Degen Ape #3906,◎ 138
30,Degen Ape #5574,◎ 140
31,Degen Ape #8510,◎ 140
32,Degen Ape #340,◎ 150
33,Degen Ape #1323,◎ 159
34,Degen Ape #1490,◎ 180
35,Degen Ape #4343,◎ 195
36,Degen Ape #6535,◎ 196
37,Degen Ape #1643,◎ 225
38,Degen Ape #1642,◎ 240
39,Degen Ape #6449,◎ 245
40,Degen Ape #1087,◎ 350
41,Degen Ape #7979,◎ 375
42,Degen Ape #2640,◎ 450
43,Degen Ape #2463,◎ 1200
44,Degen Ape #8314,◎ 3800
45,Degen Ape #6229,◎ 5420
